,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2009-06-11,28.59,23.7,38.93,44.84,133.77,45.96,45.8,27.06,20.07,43.72,27.77,39.38,136.95,31.12,27.82,43.68,11.47,27.42,12.09,85.69,21.37,33.23,21.15,53.72,13.18,26.04,99.78,61.22,22.71,22.66,28.31,44.17,33.26,34.61,12.75,26.54,21.63,21.39,18.63,14.76,5.63,9.48,78.64,44.45,67.91,37.92,29.18,51.84,34.29,12.84,6.63,6.3,16.19,65.17,31.65,49.56,18.62,37.51,21.08
2009-06-12,27.85,23.27,38.63,45.53,130.92,46.55,45.89,28.25,20.51,43.98,27.14,38.72,137.41,31.62,28.04,44.14,11.51,27.29,12.2,84.08,21.29,34.6,21.28,54.1,13.04,26.73,98.69,61.88,23.13,22.57,28.38,43.22,33.36,34.52,13.48,26.54,21.49,21.32,18.59,14.71,5.75,9.84,78.4,44.91,68.36,38.44,28.72,52.25,34.78,12.95,6.69,6.28,16.4,64.93,31.82,50.16,18.45,37.94,20.6
2009-06-15,27.05,23.33,38.36,43.83,130.08,45.88,44.22,27.55,20.58,42.89,25.78,37.54,134.93,30.99,27.4,42.92,11.21,26.24,11.68,83.18,20.37,33.73,20.94,52.6,12.56,25.32,98.16,60.52,22.43,21.55,28.03,41.36,31.94,33.21,13.1,25.22,20.99,21.06,18.89,14.46,5.58,9.91,76.24,43.87,67.79,37.49,27.87,50.78,34.15,12.45,6.25,6.21,16.4,64.07,30.8,49.66,17.94,37.18,20.24
2009-06-16,27.16,22.83,38.24,43.22,130.33,45.41,44.43,27.86,20.61,42.42,25.42,37.06,136.01,30.39,27.33,42.73,10.89,25.96,11.71,82.15,19.76,33.75,20.82,51.8,12.29,25.58,97.88,59.5,22.15,21.06,28.07,41.03,31.45,33.06,12.51,24.39,20.61,20.48,18.53,14.41,5.34,9.64,75.3,42.82,67.57,37.5,27.24,50.24,33.93,12.35,6.16,6.26,15.96,63.04,30.34,49.05,17.68,36.48,20.19
2009-06-17,26.7,22.15,38.63,42.98,129.59,45.96,43.19,28.17,20.81,42.51,25.12,37.44,131.83,30.8,27.61,43.0,10.44,26.39,12.05,82.65,19.83,34.54,20.86,52.36,12.59,26.34,97.59,58.61,20.96,20.73,28.86,40.91,30.77,32.99,12.09,23.08,21.05,20.88,19.14,14.4,5.37,9.72,76.3,42.74,67.77,38.16,27.46,50.38,34.47,12.34,6.17,6.21,15.6,62.85,29.65,49.31,17.79,36.69,20.18
2009-06-18,26.87,22.28,39.14,43.34,129.88,47.27,44.72,28.1,20.65,42.81,25.68,37.31,135.0,31.37,28.53,43.11,10.28,25.98,12.33,81.6,19.51,34.52,21.57,52.6,12.6,26.67,96.98,58.27,21.51,21.04,29.04,40.87,30.14,32.36,12.68,24.23,20.94,20.62,19.07,14.55,5.35,9.64,75.85,43.73,68.96,39.01,27.1,50.89,34.59,12.2,6.2,6.2,15.34,62.87,30.95,49.98,17.6,36.89,20.23
2009-06-19,26.97,22.78,39.28,42.88,133.32,46.77,45.16,28.21,21.16,42.26,26.2,37.4,135.04,31.26,28.27,42.66,10.4,26.23,12.4,82.96,19.64,34.59,21.25,52.65,12.6,27.04,96.58,57.95,21.96,20.87,29.71,41.0,29.76,33.61,12.99,25.22,20.79,20.77,19.37,14.36,5.38,9.71,76.18,43.28,68.18,38.91,27.13,51.36,35.32,12.86,6.45,6.07,15.8,62.53,31.7,49.99,17.53,36.69,20.42
2009-06-22,25.38,21.48,38.68,41.52,131.3,46.41,43.5,27.58,20.46,42.59,24.38,36.38,129.27,31.25,26.66,43.03,9.9,25.32,12.23,79.15,18.69,33.94,20.89,50.97,12.37,26.29,95.33,55.99,20.43,20.14,29.11,39.47,28.62,32.58,11.73,22.91,20.02,20.53,18.75,13.57,5.06,9.28,74.25,43.21,67.3,38.93,26.16,50.23,34.76,12.56,6.13,5.78,14.71,60.58,29.77,49.16,17.06,36.32,20.14
2009-06-23,25.89,21.63,38.15,38.83,128.09,45.99,44.23,28.12,20.51,42.64,24.12,36.95,133.21,31.17,26.67,42.82,9.97,25.81,12.18,77.68,18.56,34.82,20.81,50.6,12.53,26.68,95.26,56.16,20.79,20.39,28.9,40.19,29.18,32.72,12.02,23.24,20.29,20.2,18.43,13.83,5.21,9.26,74.73,43.2,67.19,39.09,26.64,48.95,34.41,12.56,6.26,5.76,14.68,60.68,30.41,48.78,17.21,35.25,20.4
2009-06-24,26.18,21.2,37.7,36.58,130.2,46.03,45.93,27.92,20.63,43.18,24.18,37.26,134.59,31.09,26.98,42.96,10.05,25.9,12.17,79.27,18.94,34.15,20.68,50.97,12.56,25.61,94.99,55.96,21.03,20.75,29.05,40.16,29.54,33.69,12.14,23.4,20.49,20.02,18.76,13.39,5.3,9.39,75.64,43.2,65.68,39.41,26.77,47.68,34.28,12.85,6.25,5.84,15.45,60.24,30.31,48.39,17.24,34.96,20.31
